table,field,dtype,nullable,null_pct,example_value,business_meaning,caveat
fact_transactions,txn_id,str,False,0.0,TXN00011869,"Transaction identifier, normalized to TXNnnnnnnnn (8-digit, zero-padded)",Transaction PK
fact_transactions,timestamp,"datetime64[us, UTC+05:30]",False,0.0,2026-01-15 00:11:30+05:30,"Transaction time, parsed to IST-aware datetime; epoch-seconds and 6 text formats normalized",-
fact_transactions,user_id,str,False,0.0,USR45826,"Raw payer identifier, normalized to USRnnnnn","Descriptive attribute only - NOT an enforced FK (see Open Question #1, ~32% match to dim_users)"
fact_transactions,merchant_id,str,False,0.0,MCH7045,"Raw payee identifier, normalized to MCHnnnn",Descriptive attribute only - NOT an enforced FK (~48% match to dim_merchants)
fact_transactions,amount,float64,False,0.0,15722.34,"Transaction amount in INR, currency symbols/commas stripped, sign made absolute",See amount_had_negative_sign
fact_transactions,utr,str,True,5.0,UTR6498104698,"Unique Transaction Reference, format-normalized (uppercased, spaces removed)","5% missing, never fabricated"
fact_transactions,mcc,str,True,14.36,5411,"Merchant Category Code, leading zeros stripped",14.3% missing
fact_transactions,status,str,False,0.0,SUCCESS,Controlled vocabulary: SUCCESS/FAILED/PENDING/PROCESSING,14 raw spellings collapsed
fact_transactions,amount_raw,str,False,0.0,15722.34,Original amount string before cleaning,Audit trail
fact_transactions,amount_had_negative_sign,bool,False,0.0,False,True if the raw value had a '-' sign,"Sign-corruption noise, not refund semantics - see Open Question #2"
fact_transactions,timestamp_raw,str,False,0.0,2026-01-15 00:11:30,Original timestamp string before cleaning,Audit trail
fact_transactions,timestamp_was_epoch,bool,False,0.0,False,True if the raw value was Unix epoch seconds,5.0% of rows
fact_transactions,utr_raw,str,True,5.0,UTR6498104698,Original UTR string before cleaning,Audit trail
fact_transactions,utr_is_invalid_format,bool,False,0.0,False,True if UTR present but does not match UTR\d+,0 rows currently
fact_transactions,mcc_raw,str,True,14.36,5411,Original MCC string before cleaning,Audit trail
fact_transactions,status_raw,str,False,0.0,COMPLETED,Original status string before cleaning,Audit trail
fact_transactions,is_conflicting_duplicate_id,bool,False,0.0,False,True if txn_id collides with another row after exact-dup removal,0 rows currently; excluded from KPI counts defensively
dim_users,user_id,str,False,0.0,USR16112,"Payer identifier, normalized to USRnnnnn",NOT unique per person - see identity-collision finding
dim_users,full_name,str,False,0.0,Dhriti Deshmukh,Customer name as recorded,-
dim_users,pan,str,True,5.21,SEJAA8194O,"PAN, uppercased/normalized",Never fabricated; see pan_status
dim_users,aadhaar,str,True,7.31,715658320763,"Aadhaar, masked values preserved as masked",Never unmasked or fabricated
dim_users,date_of_birth,string,True,8.09,1967-04-06,Parsed date (ISO string),6 formats + epoch (incl. negative pre-1970) normalized
dim_users,city,str,False,0.0,Mumbai,Canonicalized city name (e.g. Bombay->Mumbai),See src/config.CITY_MAP
dim_users,state,str,False,0.0,Maharashtra,Title-cased state name,-
dim_users,monthly_income,float64,True,12.97,35119.0,Numeric income in INR,"'Not Available' and similar treated as disguised null, not 0"
dim_users,occupation,str,False,0.0,Retired,Title-cased occupation,-
dim_users,signup_timestamp,"datetime64[us, UTC+05:30]",True,7.99,2025-12-02 02:18:16+05:30,"Parsed signup datetime, IST",-
dim_users,kyc_status,str,False,0.0,VERIFIED,Controlled vocabulary: VERIFIED/PENDING/IN_PROGRESS/REJECTED,16 raw spellings collapsed
dim_users,risk_segment,str,False,0.0,LOW,Controlled vocabulary: LOW/MEDIUM/HIGH/UNKNOWN,-
dim_users,user_id_raw,str,False,0.0,USR16112,Original user_id string before normalization,Audit trail
